City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
131,Victoria,HK,81.25,light rain,22.2855,114.1577,Mini Hotel Central
137,Domoni,KM,83.23,overcast clouds,-12.2569,44.5319,Al Djadid
139,Ixtapa,MX,78.22,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
159,Matara,LK,86.34,clear sky,5.9485,80.5353,Amaloh Boutique Resort
162,Souillac,MU,77.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
164,Sabang,ID,83.08,overcast clouds,5.8933,95.3214,Hotel Citra
167,Morondava,MG,81.84,few clouds,-20.2833,44.2833,La Case Bambou
170,Cairns,AU,81.07,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
173,Srikakulam,IN,83.26,overcast clouds,18.3,83.9,Micro Systems
174,Snyder,US,77.52,scattered clouds,32.7179,-100.9176,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
177,Curuca,BR,75.47,scattered clouds,-0.7289,-47.8481,Hotel Curuça
178,Alice Springs,AU,80.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
179,Kalmunai,LK,89.44,scattered clouds,7.4167,81.8167,VS Villa
