City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
330,Aanekoski,FI,62.6946,25.818,48.85,95,96,2.71,overcast clouds
331,Bouar,CF,5.934,15.596,78.48,66,44,4.25,scattered clouds
332,Algarrobo,CO,10.1869,-74.5753,72.95,97,100,4.99,overcast clouds
333,Tucuman,AR,-26.8241,-65.2226,71.6,68,0,5.75,clear sky
334,West Monroe,US,32.5185,-92.1476,74.12,91,1,6.91,clear sky
335,Gudalur,IN,9.6833,77.2667,85.44,58,62,10.67,broken clouds
336,Concordia,AR,-31.393,-58.0209,58.78,96,100,4.0,overcast clouds
337,Norsup,VU,-16.0667,167.3833,79.3,82,91,6.06,overcast clouds
338,Klamath Falls,US,42.2249,-121.7817,42.87,68,90,0.0,light rain
339,Ahipara,NZ,-35.1667,173.1667,52.23,69,8,10.16,clear sky
340,Walvis Bay,NA,-22.9575,14.5053,61.09,75,20,10.25,few clouds
341,Kearney,US,40.6995,-99.0815,57.24,94,75,14.97,broken clouds
342,Maputo,MZ,-25.9653,32.5892,89.28,54,20,5.99,few clouds
343,Constitucion,CL,-35.3333,-72.4167,51.1,88,81,4.59,broken clouds
344,Marawi,PH,7.9986,124.2928,74.64,90,100,2.33,moderate rain
345,Ginda,IN,30.6945,78.4932,75.29,30,0,6.04,clear sky
346,Bayangol,RU,50.6977,103.4656,39.92,55,94,3.15,overcast clouds
